DATEPRD,ON_STREAM_HRS,BORE_WI_VOL,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2009-06-18,24.0,4538.471886458334,,,0.0
2009-06-19,24.0,4716.153473125,,,0.0
2009-06-20,24.0,4747.624870416666,,,0.0
2009-06-21,24.0,4603.837562916667,,,0.0
2009-06-22,24.0,4795.0,,,0.0
2009-06-23,24.0,4646.1,,,0.0
2009-06-24,24.0,4553.5,,,0.0
2009-06-25,24.0,4646.44,,,0.0
2009-06-26,24.0,5519.0,,,0.0
2009-06-27,24.0,5418.5,,,0.0
2009-06-28,24.0,4819.1,,,0.0
2009-06-29,24.0,5000.0,,,0.0
2009-06-30,24.0,4822.40851625,,,0.0
2009-07-01,24.0,4775.0,,,0.0
2009-07-02,24.0,4754.0,,,0.0
2009-07-03,24.0,4744.2,,,0.0
2009-07-04,24.0,4724.0,,,0.0
2009-07-05,24.0,4687.0,,,0.0
2009-07-06,24.0,3942.5,,,0.0
2009-07-07,24.0,3929.0,,,0.0
2009-07-08,24.0,3776.0,,,0.0
2009-07-09,24.0,3743.0,,,0.0
2009-07-10,24.0,3725.0,,,0.0
2009-07-11,24.0,4198.0,,,0.0
2009-07-12,24.0,4597.0,,,0.0
2009-07-13,24.0,4599.0,,,0.0
2009-07-14,24.0,4670.0,,,0.0
2009-07-15,24.0,4734.5,,,0.0
2009-07-16,21.5,3748.0,,,0.0
2009-07-17,24.0,8667.6,,,0.0
2009-07-18,24.0,8407.1,,,0.0
2009-07-19,17.33333,5297.05,,,0.0
2009-07-20,24.0,8505.0,,,0.0
2009-07-21,24.0,8384.6,,,0.0
2009-07-22,24.0,8043.1,,,0.0
2009-07-23,24.0,8206.1,,,0.0
2009-07-24,24.0,8297.1,,,0.0
2009-07-25,24.0,8192.9,,,0.0
2009-07-26,24.0,8308.0,,,0.0
2009-07-27,24.0,8276.2,,,0.0
2009-07-28,24.0,8287.0,,,0.0
2009-07-29,24.0,8316.10488583333,,,0.0
